model,dataset_size,feature_dim,batch_size,max_steps,clip_norm,noise_mult,learning_rate,samples,proofs,proof_size_kb,avg_proof_size_kb,prover_time_ms,clipping_time_ms,clipping_pct,noise_gen_time_ms,noise_gen_pct,noise_add_time_ms,noise_add_pct,weight_update_time_ms,weight_update_pct,aggregation_time_ms,aggregation_pct,other_time_ms,other_pct,verifier_time_ms,prover_verifier_ratio,prover_time_per_sample_ms,baseline_memory_mb,peak_memory_mb,final_memory_mb,memory_overhead_mb,epsilon,sampling_rate,wall_time_sec
linear,100,16,2,50,10,1.0,0.1,0000000100,0000000200,00000003.488,00000001.367,0002259.11,0000033.14,01.47,0000054.95,02.43,0000054.92,02.43,0000030.46,01.35,0001236.85,54.75,0000848.79,37.57,0000014.32,0000157.73,0000022.59,00000162.383,00000173.676,00000173.676,00000011.293,0000000001.7724,00000000.020000,8
linear,100,16,5,20,10,1.0,0.1,0000000100,0000000080,00000003.488,00000001.367,0001291.09,0000013.81,01.07,0000032.04,02.48,0000032.02,02.48,0000012.89,01.00,0000451.71,34.99,0000748.62,57.98,0000009.29,0000138.98,0000012.91,00000162.277,00000173.184,00000173.184,00000010.906,0000000002.6876,00000000.050000,9
linear,100,16,10,10,10,1.0,0.1,0000000100,0000000040,00000003.020,00000001.367,0000922.11,0000005.90,00.64,0000008.83,00.96,0000008.83,00.96,0000005.53,00.60,0000196.94,21.36,0000696.08,75.49,0000014.53,0000063.48,0000009.22,00000162.461,00000173.320,00000173.320,00000010.859,0000000003.6315,00000000.100000,7
linear,100,16,20,5,10,1.0,0.1,0000000100,0000000020,00000003.488,00000001.367,0000811.31,0000003.70,00.46,0000005.52,00.68,0000005.51,00.68,0000003.03,00.37,0000078.37,09.66,0000715.18,88.15,0000007.60,0000106.73,0000008.11,00000162.113,00000172.766,00000172.766,00000010.652,0000000004.5298,00000000.200000,7
linear,100,16,30,4,10,1.0,0.1,0000000100,0000000016,00000003.020,00000001.367,0000745.56,0000002.03,00.27,0000002.37,00.32,0000002.37,00.32,0000001.41,00.19,0000070.78,09.49,0000666.61,89.41,0000006.34,0000117.51,0000007.46,00000162.637,00000173.219,00000173.219,00000010.582,0000000005.1982,00000000.300000,6
linear,100,16,50,2,10,1.0,0.1,0000000100,0000000008,00000003.488,00000001.367,0000845.08,0000001.29,00.15,0000002.00,00.24,0000002.00,00.24,0000001.07,00.13,0000020.85,02.47,0000817.88,96.78,0000006.15,0000137.45,0000008.45,00000162.117,00000172.020,00000172.020,00000009.902,0000000004.9907,00000000.500000,7
linear,250,16,2,125,10,1.0,0.1,0000000250,0000000500,00000003.488,00000001.367,0003211.88,0000064.23,02.00,0000086.25,02.69,0000086.18,02.68,0000056.95,01.77,0002108.88,65.66,0000809.37,25.20,0000030.26,0000106.14,0000012.85,00000162.289,00000175.129,00000175.129,00000012.840,0000000001.4896,00000000.008000,9
linear,250,16,5,50,10,1.0,0.1,0000000250,0000000200,00000003.488,00000001.367,0001678.01,0000025.99,01.55,0000033.55,02.00,0000033.53,02.00,0000022.08,01.32,0000829.82,49.45,0000733.04,43.69,0000005.26,0000319.17,0000006.71,00000162.012,00000173.422,00000173.422,00000011.410,0000000002.0503,00000000.020000,7
linear,250,16,10,25,10,1.0,0.1,0000000250,0000000100,00000003.020,00000001.367,0001125.86,0000012.34,01.10,0000017.61,01.56,0000017.60,01.56,0000015.09,01.34,0000413.36,36.72,0000649.87,57.72,0000009.44,0000119.25,0000004.50,00000162.145,00000173.387,00000173.387,00000011.242,0000000002.8257,00000000.040000,6
linear,250,16,20,13,10,1.0,0.1,0000000250,0000000052,00000003.020,00000001.367,0001018.57,0000005.02,00.49,0000007.00,00.69,0000006.99,00.69,0000004.39,00.43,0000206.87,20.31,0000788.30,77.39,0000022.80,0000044.67,0000004.07,00000162.508,00000172.695,00000172.695,00000010.188,0000000003.8633,00000000.080000,7
