model,batches,clip_norm,noise_mult,learning_rate,samples,proofs,proof_size_kb,avg_proof_size_kb,prover_time_ms,clipping_time_ms,clipping_pct,noise_gen_time_ms,noise_gen_pct,noise_add_time_ms,noise_add_pct,weight_update_time_ms,weight_update_pct,verifier_time_ms,prover_verifier_ratio,prover_time_per_sample_ms,baseline_memory_mb,peak_memory_mb,final_memory_mb,memory_overhead_mb,epsilon,sampling_rate,wall_time_sec
cnn,20,10,1.1,0.01,0000000640,0000000080,00000004.082,00000003.500,0205577.00,0035488.88,17.26,0005647.82,02.75,0005647.79,02.75,0084625.56,41.16,0000005.02,0040923.65,0000321.21,00000300.270,00000811.668,00000619.086,00000511.398,0000000002.9193,00000000.050000,209
mlp,20,10,1.1,0.01,0000000640,0000000080,00000003.926,00000003.203,0049768.40,0008679.43,17.44,0001344.47,02.70,0001344.45,02.70,0019560.02,39.30,0000003.84,0012974.29,0000077.76,00000300.344,00000435.109,00000383.602,00000134.766,0000000002.9193,00000000.050000,53
cnn,20,1,1.1,0.01,0000000640,0000000080,00000004.082,00000003.500,0207193.61,0034910.29,16.85,0005666.58,02.73,0005666.55,02.73,0086323.80,41.66,0000003.31,0062650.94,0000323.74,00000300.492,00000812.441,00000635.102,00000511.949,0000000002.9193,00000000.050000,210
cnn,20,5,1.1,0.01,0000000640,0000000080,00000004.082,00000003.500,0210585.37,0036026.96,17.11,0005720.69,02.72,0005720.66,02.72,0087140.15,41.38,0000004.95,0042584.48,0000329.04,00000313.988,00000821.398,00000642.707,00000507.410,0000000002.9193,00000000.050000,214
cnn,20,10,1.1,0.01,0000000640,0000000080,00000004.082,00000003.500,0208236.31,0035489.87,17.04,0005733.54,02.75,0005733.52,02.75,0086403.99,41.49,0000003.11,0066860.18,0000325.37,00000299.977,00000812.719,00000479.234,00000512.742,0000000002.9193,00000000.050000,212
cnn,20,20,1.1,0.01,0000000640,0000000080,00000004.082,00000003.500,0205862.95,0035270.19,17.13,0005658.93,02.75,0005658.91,02.75,0085596.81,41.58,0000004.66,0044160.85,0000321.66,00000300.238,00000807.414,00000492.484,00000507.176,0000000002.9193,00000000.050000,210
cnn,20,50,1.1,0.01,0000000640,0000000080,00000004.082,00000003.500,0205888.31,0035195.58,17.09,0005622.05,02.73,0005622.02,02.73,0085658.96,41.60,0000004.42,0046569.45,0000321.70,00000300.078,00000818.625,00000641.027,00000518.547,0000000002.9193,00000000.050000,209
cnn,20,10,0.5,0.01,0000000640,0000000080,00000004.082,00000003.500,0205379.56,0035029.20,17.06,0005543.39,02.70,0005543.37,02.70,0084970.41,41.37,0000004.03,0050945.76,0000320.91,00000300.641,00000809.777,00000635.152,00000509.137,0000000010.0829,00000000.050000,209
cnn,20,10,1.0,0.01,0000000640,0000000080,00000004.082,00000003.500,0205701.11,0035166.09,17.10,0005617.76,02.73,0005617.73,02.73,0084990.74,41.32,0000004.28,0048048.86,0000321.41,00000300.930,00000804.305,00000476.199,00000503.375,0000000003.4764,00000000.050000,209
cnn,20,10,1.1,0.01,0000000640,0000000080,00000004.082,00000003.500,0206019.75,0035093.83,17.03,0005592.28,02.71,0005592.25,02.71,0084921.39,41.22,0000002.53,0081532.63,0000321.91,00000300.754,00000816.254,00000470.742,00000515.500,0000000002.9193,00000000.050000,209
cnn,20,10,2.0,0.01,0000000640,0000000080,00000004.082,00000003.500,0203719.45,0034841.58,17.10,0005552.21,02.73,0005552.19,02.73,0084617.35,41.54,0000006.93,0029402.41,0000318.31,00000299.977,00000812.762,00000496.746,00000512.785,0000000001.4813,00000000.050000,207
cnn,20,10,1.1,0.001,0000000640,0000000080,00000004.082,00000003.500,0205010.57,0035114.17,17.13,0005539.93,02.70,0005539.90,02.70,0084911.92,41.42,0000004.24,0048352.02,0000320.33,00000300.207,00000817.504,00000622.582,00000517.297,0000000002.9193,00000000.050000,209
cnn,20,10,1.1,0.01,0000000640,0000000080,00000004.082,00000003.500,0205069.03,0035005.41,17.07,0005581.61,02.72,0005581.58,02.72,0084912.45,41.41,0000004.11,0049906.64,0000320.42,00000300.922,00000811.266,00000494.523,00000510.344,0000000002.9193,00000000.050000,209
cnn,20,10,1.1,0.1,0000000640,0000000080,00000004.082,00000003.500,0206318.73,0035184.86,17.05,0005674.40,02.75,0005674.37,02.75,0085813.30,41.59,0000005.77,0035726.87,0000322.37,00000299.918,00000806.430,00000472.289,00000506.512,0000000002.9193,00000000.050000,210
